commit_message,sha,type,commit_url,annotated_type,masked_commit_message,git_diff,human_label
     };
 
-    let group_by = match (&stmt.group_by, has_group_by_wildcard) {
-        // GROUP BY with a wildcard
-        (Some(group_by), true) => {
-            let group_by_tags = tag_set.into_iter().sorted().collect::<Vec<_>>();
-            let mut new_dimensions = Vec::new();
-
-            for dim in group_by.iter() {
-                let add_dim = |dim: &String| {
-                    new_dimensions.push(Dimension::Tag(Identifier::new(dim.clone())))
-                };
-
-                match dim {
-                    Dimension::Wildcard => {
-                        group_by_tags.iter().for_each(add_dim);
-                    }
-                    Dimension::Regex(re) => {
-                        let re = util::parse_regex(re)?;
-
-                        group_by_tags
-                            .iter()
-                            .filter(|dim| re.is_match(dim.as_str()))
-                            .for_each(add_dim);
-                    }
-                    _ => new_dimensions.push(dim.clone()),
-                }
-            }
-            Some(GroupByClause::new(new_dimensions))
-        }
-        // GROUP BY no wildcard
-        (Some(group_by), false) => Some(group_by.clone()),
-        // No GROUP BY
-        (None, _) => None,
-    };
-
-    Ok((fields, group_by))
+    Ok((fields_resolve_aliases_and_types(s, fields, from)?, group_by))
 }
 
-/// Resolve the projection list column names in accordance with the
-/// [original implementation]. The names are assigned to the `alias` field of the [`Field`] struct.
+/// Resolve the projection list column names and data types.
+/// Column names are resolved in accordance with the [original implementation].
 ///
 /// [original implementation]: https://github.com/influxdata/influxql/blob/1ba470371ec093d57a726b143fe6ccbacf1b452b/ast.go#L1651
-fn field_list_rewrite_aliases(field_list: &mut [Field]) -> Result<()> {
-    let names = field_list.iter().map(field_name).collect::<Vec<_>>();
+fn fields_resolve_aliases_and_types(
+    s: &dyn SchemaProvider,
+    fields: Vec<influxdb_influxql_parser::select::Field>,
+    from: &[DataSource],
+) -> Result<Vec<Field>> {
+    let names = fields.iter().map(field_name).collect::<Vec<_>>();
     let mut column_aliases = HashMap::<&str, _>::from_iter(names.iter().map(|f| (f.as_str(), 0)));
+
+    let tv = TypeEvaluator::new(s, from);
+
     names
         .iter()
-        .zip(field_list.iter_mut())
-        .for_each(|(name, field)| {
-            // Generate a new name if there is an existing alias
-            field.alias = Some(match column_aliases.get(name.as_str()) {
+        .zip(fields.into_iter())
+        .map(|(name, field)| {
+            let expr = field.expr;
+            let data_type = tv.eval_type(&expr)?;
+            let name = match column_aliases.get(name.as_str()) {
                 Some(0) => {
                     column_aliases.insert(name, 1);
-                    name.as_str().into()
+                    name.to_owned()
                 }
                 Some(count) => {
                     let mut count = *count;
+                    let mut resolved_name = name.to_owned();
+                    resolved_name.push('_');
+                    let orig_len = resolved_name.len();
+
                     loop {
-                        let resolved_name = format!(""{name}_{count}"");
+                        resolved_name.push_str(count.to_string().as_str());
                         if column_aliases.contains_key(resolved_name.as_str()) {
                             count += 1;
+                            resolved_name.truncate(orig_len)
                         } else {
                             column_aliases.insert(name, count + 1);
-                            break resolved_name.as_str().into();
+                            break resolved_name;
                         }
                     }
                 }
                 None => unreachable!(),
-            })
-        });
+            };
 
-    Ok(())
+            Ok(Field {
+                expr,
+                name,
+                data_type: var_ref_data_type_to_influx_type(data_type),
+            })
+        })
+        .collect::<Result<Vec<_>>>()
 }
 
 /// Check the length of the arguments slice is within
@@ -1371,7 +1397,7 @@ fn select_statement_info(
 #[cfg(test)]
 mod test {
     use super::Result;
-    use crate::plan::ir::Select;
+    use crate::plan::ir::{Field, Select};
     use crate::plan::rewriter::{
         has_wildcards, map_select, rewrite_statement, ProjectionType, SelectStatementInfo,
     };
@@ -1433,7 +1459,16 @@ mod test {
     #[test]
     fn test_select_statement_info_functions() {
         fn select_statement_info(q: &SelectStatement) -> Result<SelectStatementInfo> {
-            super::select_statement_info(&q.fields, &q.group_by, q.fill)
+            let columns = q
+                .fields
+                .iter()
+                .map(|f| Field {
+                    expr: f.expr.clone(),
+                    name: """".to_owned(),
+                    data_type: None,
+                })
+                .collect::<Vec<_>>();
+            super::select_statement_info(&columns, &q.group_by, q.fill)
         }
 
         // percentile
@@ -1898,6 +1933,22 @@ mod test {
         fn fallible() {
             let namespace = MockSchemaProvider::default();
 
+            // invalid expression, combining float and string fields
+            let stmt = parse_select(""SELECT field_f64 + field_str FROM all_types"");
+            let err = rewrite_statement(&namespace, &stmt).unwrap_err();
+            assert_contains!(
+                err.to_string(),
+                ""Error during planning: incompatible operands for operator +: float and string""
+            );
+
+            // invalid expression, combining string and string fields, which is compatible with InfluxQL
+            let stmt = parse_select(""SELECT field_str + field_str FROM all_types"");
+            let err = rewrite_statement(&namespace, &stmt).unwrap_err();
+            assert_contains!(
+                err.to_string(),
+                ""Error during planning: incompatible operands for operator +: string and string""
+            );
+
             // Invalid regex
             let stmt = parse_select(""SELECT usage_idle FROM /(not/"");
             let err = rewrite_statement(&namespace, &stmt).unwrap_err();
@@ -1907,7 +1958,14 @@ mod test {
             let err = rewrite_statement(&namespace, &stmt).unwrap_err();
             assert_eq!(
                 err.to_string(),
-                ""Error during planning: unsupported expression: contains a wildcard or regular expression""
+                ""Error during planning: unsupported binary expression: contains a wildcard or regular expression""
+            );
+
+            let stmt = parse_select(""SELECT COUNT(*) + SUM(usage_idle) FROM cpu"");
+            let err = rewrite_statement(&namespace, &stmt).unwrap_err();
+            assert_eq!(
+                err.to_string(),
+                ""Error during planning: unsupported binary expression: contains a wildcard or regular expression""
             );
 
             let stmt = parse_select(""SELECT COUNT(*::tag) FROM cpu"");
diff --git a/iox_query_influxql/src/plan/test_utils.rs b/iox_query_influxql/src/plan/test_utils.rs
index dde0788..d7d7281 100644
--- a/iox_query_influxql/src/plan/test_utils.rs
+++ b/iox_query_influxql/src/plan/test_utils.rs
@@ -7,18 +7,13 @@ use datafusion::datasource::empty::EmptyTable;
 use datafusion::datasource::provider_as_source;
 use datafusion::logical_expr::{AggregateUDF, ScalarUDF, TableSource};
 use influxdb_influxql_parser::parse_statements;
-use influxdb_influxql_parser::select::{Field, SelectStatement};
+use influxdb_influxql_parser::select::SelectStatement;
 use influxdb_influxql_parser::statement::Statement;
 use itertools::Itertools;
 use schema::{Schema, SchemaBuilder};
 use std::collections::HashMap;
 use std::sync::Arc;
 
-/// Returns the first `Field` of the `SELECT` statement.
-pub(crate) fn get_first_field(s: &str) -> Field {
-    parse_select(s).fields.head().unwrap().clone()
-}
-
 /// Returns the InfluxQL [`SelectStatement`] for the specified SQL, `s`.
 pub(crate) fn parse_select(s: &str) -> SelectStatement {
     let statements = parse_statements(s).unwrap();
diff --git a/iox_query_influxql/src/plan/var_ref.rs b/iox_query_influxql/src/plan/var_ref.rs
index 0e65807..3a96f55 100644
--- a/iox_query_influxql/src/plan/var_ref.rs
+++ b/iox_query_influxql/src/plan/var_ref.rs
@@ -2,7 +2,7 @@ use crate::plan::error;
 use arrow::datatypes::DataType;
 use datafusion::common::Result;
 use influxdb_influxql_parser::expression::VarRefDataType;
-use schema::InfluxFieldType;
+use schema::{InfluxColumnType, InfluxFieldType};
 
 pub(crate) fn var_ref_data_type_to_data_type(v: VarRefDataType) -> Option<DataType> {
     match v {
@@ -27,6 +27,34 @@ pub(crate) fn field_type_to_var_ref_data_type(v: InfluxFieldType) -> VarRefDataT
     }
 }
 
+/// Maps an [`InfluxFieldType`] to a [`VarRefDataType`].
+pub(crate) fn influx_type_to_var_ref_data_type(
+    v: Option<InfluxColumnType>,
+) -> Option<VarRefDataType> {
+    match v {
+        None => None,
+        Some(InfluxColumnType::Tag) => Some(VarRefDataType::Tag),
+        Some(InfluxColumnType::Field(ft)) => Some(field_type_to_var_ref_data_type(ft)),
+        Some(InfluxColumnType::Timestamp) => Some(VarRefDataType::Timestamp),
+    }
+}
+
+/// Maps an [`VarRefDataType`] to an [`InfluxColumnType`].
+pub(crate) fn var_ref_data_type_to_influx_type(
+    v: Option<VarRefDataType>,
+) -> Option<InfluxColumnType> {
+    match v {
+        Some(VarRefDataType::Float) => Some(InfluxColumnType::Field(InfluxFieldType::Float)),
+        Some(VarRefDataType::Integer) => Some(InfluxColumnType::Field(InfluxFieldType::Integer)),
+        Some(VarRefDataType::Unsigned) => Some(InfluxColumnType::Field(InfluxFieldType::UInteger)),
+        Some(VarRefDataType::String) => Some(InfluxColumnType::Field(InfluxFieldType::String)),
+        Some(VarRefDataType::Boolean) => Some(InfluxColumnType::Field(InfluxFieldType::Boolean)),
+        Some(VarRefDataType::Tag) => Some(InfluxColumnType::Tag),
+        Some(VarRefDataType::Timestamp) => Some(InfluxColumnType::Timestamp),
+        Some(VarRefDataType::Field) | None => None,
+    }
+}
+
 /// Maps an Arrow [`DataType`] to a [`VarRefDataType`].
 pub(crate) fn data_type_to_var_ref_data_type(dt: DataType) -> Result<VarRefDataType> {
     match dt {
",0
test(aws): update CloudFront distribution golden test prices,f97178dc6bffed3ce9a1ac97ca6b2343c365ea84,test,https://github.com/McLaouth/infracost/commit/f97178dc6bffed3ce9a1ac97ca6b2343c365ea84,test,update CloudFront distribution golden test prices,"diff --git a/internal/providers/terraform/aws/testdata/cloudfront_distribution_test/cloudfront_distribution_test.golden b/internal/providers/terraform/aws/testdata/cloudfront_distribution_test/cloudfront_distribution_test.golden
index e801fe7..168b56c 100644
--- a/internal/providers/terraform/aws/testdata/cloudfront_distribution_test/cloudfront_distribution_test.golden
+++ b/internal/providers/terraform/aws/testdata/cloudfront_distribution_test/cloudfront_distribution_test.golden
@@ -13,8 +13,8 @@
  │  ├─ South America (first 10TB)                         Cost depends on usage: $0.11 per GB               
  │  ├─ Japan (first 10TB)                                 Cost depends on usage: $0.11 per GB               
  │  ├─ Australia, New Zealand (first 10TB)                Cost depends on usage: $0.11 per GB               
- │  ├─ Hong Kong, Philippines, Asia Pacific (first 10TB)  Cost depends on usage: $0.14 per GB               
- │  └─ India (first 10TB)                                 Cost depends on usage: $0.17 per GB               
+ │  ├─ Hong Kong, Philippines, Asia Pacific (first 10TB)  Cost depends on usage: $0.12 per GB               
+ │  └─ India (first 10TB)                                 Cost depends on usage: $0.11 per GB               
  ├─ Data transfer out to origin                                                                             
  │  ├─ US, Mexico, Canada                                 Cost depends on usage: $0.02 per GB               
  │  ├─ Europe, Israel                                     Cost depends on usage: $0.02 per GB               
",0
"fix(helm): nginx forward L7 headers from LB

Signed-off-by: rjshrjndrn <rjshrjndrn@gmail.com>",e12d9e77a6fd531a22325337838a841b1c67f00d,fix,https://github.com/orgTestCodacy11KRepos110MB/repo-3134-openreplay/commit/e12d9e77a6fd531a22325337838a841b1c67f00d,docs,"nginx forward L7 headers from LB

Signed-off-by: rjshrjndrn <rjshrjndrn@gmail.com>","diff --git a/scripts/helmcharts/vars.yaml b/scripts/helmcharts/vars.yaml
index 5c02f57..163b7d2 100644
--- a/scripts/helmcharts/vars.yaml
+++ b/scripts/helmcharts/vars.yaml
@@ -54,6 +54,10 @@ ingress-nginx: &ingress-nginx
       default-ssl-certificate: ""app/openreplay-ssl""
     config:
       enable-real-ip: true
+      # Enable LB forwarded protocol
+      # Ref: https://kubernetes.github.io/ingress-nginx/user-guide/nginx-configuration/configmap/#use-forwarded-headers
+      # https://github.com/nginxinc/kubernetes-ingress/issues/1284#issuecomment-872869354
+      # use-forwarded-headers: true
       # Ref: https://kubernetes.github.io/ingress-nginx/user-guide/nginx-configuration/configmap/#max-worker-connections
       max-worker-connections: 0
       # SSL redirection
",1
style(fab): fix typo in `height` variable (#16227),f58a7c05e8fc0a4cda7dd8571437f54b7d4a72f6,style,https://github.com/2lambda123/ionic-framework/commit/f58a7c05e8fc0a4cda7dd8571437f54b7d4a72f6,style,fix typo in `height` variable (#16227),"diff --git a/core/src/components/fab-button/fab-button.scss b/core/src/components/fab-button/fab-button.scss
index b16ec81..e7214a0 100755
--- a/core/src/components/fab-button/fab-button.scss
+++ b/core/src/components/fab-button/fab-button.scss
@@ -100,7 +100,7 @@
   background-clip: padding-box;
   color: var(--color);
 
-  line-height: var(--heigh);
+  line-height: var(--height);
 
   box-shadow: var(--box-shadow);
   contain: strict;
",0
ci: install `libgeos-dev` in `setuptools` install check,fec1f8882de1e1845c7076cb692e9af4991785c9,ci,https://github.com/ibis-project/ibis/commit/fec1f8882de1e1845c7076cb692e9af4991785c9,ci,install `libgeos-dev` in `setuptools` install check,"diff --git a/.github/workflows/check-generated-files.yml b/.github/workflows/check-generated-files.yml
index 6d3e1b6..bf01ae3 100644
--- a/.github/workflows/check-generated-files.yml
+++ b/.github/workflows/check-generated-files.yml
@@ -66,7 +66,7 @@ jobs:
         run: sudo apt-get update -y -q
 
       - name: install system dependencies
-        run: sudo apt-get install -y -q build-essential graphviz krb5-config libkrb5-dev
+        run: sudo apt-get install -y -q build-essential graphviz krb5-config libkrb5-dev libgeos-dev
 
       - name: install poetry
         run: pip install poetry
",0
perf(changelog): optimize the release vector size,7e84797900f1b6f61e16d8a4766b8209673a7acb,perf,https://github.com/orhun/git-cliff/commit/7e84797900f1b6f61e16d8a4766b8209673a7acb,perf,optimize the release vector size,"diff --git a/git-cliff/src/lib.rs b/git-cliff/src/lib.rs
index a8455d3..a0fbe11 100644
--- a/git-cliff/src/lib.rs
+++ b/git-cliff/src/lib.rs
@@ -114,7 +114,7 @@ pub fn run(mut args: Opt) -> Result<()> {
 	}
 
 	// Process releases.
-	let mut releases = vec![Release::default(); tags.len() + 1];
+	let mut releases = vec![Release::default()];
 	let mut release_index = 0;
 	let mut previous_release = Release::default();
 	for git_commit in commits.into_iter().rev() {
@@ -128,6 +128,7 @@ pub fn run(mut args: Opt) -> Result<()> {
 			previous_release.previous = None;
 			releases[release_index].previous = Some(Box::new(previous_release));
 			previous_release = releases[release_index].clone();
+			releases.push(Release::default());
 			release_index += 1;
 		}
 	}
",0
feat: simplified package-scripts,f31fae9ff6e85dddf8036d53c41bdffcfa6ae350,feat,https://github.com/forcedotcom/sfdx-plugin-generate/commit/f31fae9ff6e85dddf8036d53c41bdffcfa6ae350,refactor,simplified package-scripts,"diff --git a/templates/app/appveyor.yml b/templates/app/appveyor.yml
index 1635226..4d7c1c2 100644
--- a/templates/app/appveyor.yml
+++ b/templates/app/appveyor.yml
@@ -12,7 +12,7 @@ install:
   - git config --global user.name ""dxcli""
   - yarn
 test_script:
-  - .\node_modules\.bin\nps ci.test
+  - yarn test
 after_test:
   - ps: |
       $env:PATH = 'C:\msys64\usr\bin;' + $env:PATH
diff --git a/templates/app/circle.yml.ejs b/templates/app/circle.yml.ejs
index 0b57bf2..36508f4 100644
--- a/templates/app/circle.yml.ejs
+++ b/templates/app/circle.yml.ejs
@@ -14,7 +14,7 @@ jobs:
             - v0-yarn-{{checksum "".circleci/config.yml""}}-master-
       - run: .circleci/setup_git
       - run: .circleci/yarn
-      - run: yarn exec nps ci.test
+      - run: yarn test
       - run: curl -s https://codecov.io/bash | bash
       - store_test_results: &store_test_results
           path: ~/cli/reports
@@ -33,7 +33,7 @@ jobs:
       - restore_cache: *restore_cache
       - run: .circleci/setup_git
       - run: .circleci/yarn
-      - run: yarn exec nps ci.test
+      - run: yarn test
       - run: curl -s https://codecov.io/bash | bash
       - store_test_results: *store_test_results
 <%_ if (semantic_release) { _%>
@@ -45,7 +45,7 @@ jobs:
       - restore_cache: *restore_cache
       - run: .circleci/setup_git
       - run: .circleci/yarn
-      - run: yarn exec nps ci.release
+      - run: yarn exec nps release
 <%_ } _%>
 
 workflows:
diff --git a/templates/app/package-scripts.js.ejs b/templates/app/package-scripts.js.ejs
index 2dcdd83..3bbb7a5 100644
--- a/templates/app/package-scripts.js.ejs
+++ b/templates/app/package-scripts.js.ejs
@@ -1,120 +1,64 @@
 const {
+  setColors,
   concurrent,
 <%_ if (mocha) { _%>
   crossEnv,
-<%_ } _%>
-  ifNotWindows,
-  ifWindows,
   mkdirp,
   series,
-  setColors,
-} = require('nps-utils')
-<%_ if (semantic_release) { _%>
-const pjson = require('./package.json')
-const release = pjson.devDependencies.typedoc ? ['ci.release.semantic-release', 'ci.release.typedoc'] : ['ci.release.semantic-release']
 <%_ } _%>
-const script = (script, description) => description ? {script, description} : {script}
-const hidden = script => ({script, hiddenFromHelp: true})
-const unixOrWindows = (unix, windows) => series(ifNotWindows(unix), ifWindows(windows))
-
-const lint = ['lint.eslint'<% if (semantic_release) { %>, 'lint.commitlint'<% } %><% if (ts) { %>, 'lint.tsc', 'lint.tslint'<% } %>]
+} = require('nps-utils')
 
 setColors(['dim'])
 
-let ciTests = [
-  'ci.test.eslint',
-<%_ if (mocha) { _%>
-  'ci.test.mocha',
-<%_ } _%>
-<%_ if (ts) { _%>
-  'ci.test.tslint',
-<%_ } _%>
-]
+const script = (script, description) => description ? {script, description} : {script}
 
-module.exports = {
-  scripts: {
-    lint: {
-      default: concurrent.nps(...lint),
-      eslint: script('eslint .', 'lint js files'),
+const lint = {
+  eslint: script('eslint .', 'lint js files'),
 <%_ if (semantic_release) { _%>
-      commitlint: script('commitlint --from origin/master', 'ensure that commits are in valid conventional-changelog format'),
+  commitlint: script('commitlint --from origin/master', 'ensure that commits are in valid conventional-changelog format'),
 <%_ } _%>
 <%_ if (ts) { _%>
-  <%_ if (mocha) { _%>
-      tsc: script('tsc -p test --noEmit', 'syntax check with tsc'),
-      tslint: script('tslint -p test', 'lint ts files'),
-  <%_ } else { _%>
-      tsc: script('tsc -p . --noEmit', 'syntax check with tsc'),
-      tslint: script('tslint -p .', 'lint ts files'),
-  <%_ } _%>
+  tsc: script('tsc -p test --noEmit', 'syntax check with tsc'),
+  tslint: script('tslint -p test', 'lint ts files'),
 <%_ } _%>
-    },
-    test: {
+}
+
+const linters = Object.keys(lint).map(l => `lint.${l}`)
+lint.default = concurrent.nps(...linters)
+
+const test = {
 <%_ if (mocha) { _%>
-      default: script(concurrent.nps(...lint), 'lint and run all tests'),
-      series: script(series.nps(...lint), 'lint and run all tests in series'),
-      mocha: {
-        default: script('mocha --forbid-only ""test/**/*.test.<%= _ext %>""', 'run all mocha tests'),
-        coverage: {
-          default: hidden(series.nps('test.mocha.nyc nps test.mocha', 'test.mocha.coverage.report')),
-          report: hidden(series('nps ""test.mocha.nyc report --reporter text-lcov"" > coverage.lcov')),
-        },
-        junit: hidden(series(
-          crossEnv('MOCHA_FILE=""reports/mocha.xml"" ') + series.nps('test.mocha.nyc nps \\""test.mocha --reporter mocha-junit-reporter\\""'),
-          series.nps('test.mocha.coverage.report'),
-        )),
-        nyc: hidden('nyc --nycrc-path node_modules/@dxcli/dev-nyc-config/.nycrc'),
-      },
+  default: script(concurrent.nps(...linters, 'test.mocha'), 'lint and run all tests'),
+  mocha: script('mocha --forbid-only ""test/**/*.test.ts""', 'run all mocha tests'),
 <%_ } else { _%>
-      default: script(concurrent.nps('lint')),
+  default: lint.default
 <%_ } _%>
-    },
-    ci: {
-      test: {
-        default: hidden(series(
-          mkdirp('reports'),
-          unixOrWindows(
-            concurrent.nps(...ciTests),
-            series.nps(...ciTests),
-          ),
-        )),
+}
+
+const scripts = {
+  lint,
+  test,
+}
+
 <%_ if (mocha) { _%>
-        mocha: hidden(
-          unixOrWindows(
-            series.nps('test.mocha.junit'),
-            series.nps('test.mocha.coverage'),
-          )
-        ),
-<%_ } _%>
-        eslint: hidden(
-          unixOrWindows(
-            series.nps('lint.eslint --format junit --output-file reports/eslint.xml'),
-            series.nps('lint.eslint'),
-          )
-        ),
+if (process.env.CI) {
+  if (process.env.CIRCLECI) {
+    test.default.script = series(mkdirp('reports'), test.default.script)
+    // add mocha junit reporter
+    test.mocha.script = crossEnv(`MOCHA_FILE=reports/mocha.xml ${test.mocha.script} --reporter mocha-junit-reporter`)
+    // add eslint reporter
+    lint.eslint.script = `${lint.eslint.script} --format junit --output-file reports/eslint.xml`
 <%_ if (ts) { _%>
-        tslint: hidden(
-          unixOrWindows(
-            series.nps('lint.tslint --format junit > reports/tslint.xml'),
-            series.nps('lint.tslint'),
-          )
-        ),
-<%_ } _%>
-      },
-<%_ if (semantic_release) { _%>
-      typedoc: hidden('typedoc --out /tmp/docs src/index.ts --excludeNotExported --mode file'),
-      release: {
-        default: hidden(series.nps(...release)),
-        'semantic-release': hidden('semantic-release -e @dxcli/dev-semantic-release'),
-        typedoc: hidden(series(
-          'git clone -b gh-pages $CIRCLE_REPOSITORY_URL gh-pages',
-          'nps ci.typedoc',
-          'rm -rf ./gh-pages/*',
-          'mv /tmp/docs/* ./gh-pages',
-          'cd gh-pages && git add . && git commit -m ""updates from $CIRCLE_SHA1 [skip ci]"" && git push',
-        )),
-      },
+    // add tslint reporter
+    lint.tslint.script = `${lint.tslint.script} --format junit > reports/tslint.xml`
 <%_ } _%>
-    },
-  },
+    scripts.release = 'semantic-release -e @dxcli/dev-semantic-release'
+  }
+  // add code coverage reporting with nyc
+  const nyc = 'nyc --nycrc-path node_modules/@dxcli/dev-nyc-config/.nycrc'
+  const nycReport = `${nyc} report --reporter text-lcov > coverage.lcov`
+  test.mocha.script = series(`${nyc} ${test.mocha.script}`, nycReport)
 }
+<%_ } _%>
+
+module.exports = {scripts}
",0
chore: add examples gitignore,1ee6f2ed2123dc7feb5cfcd9b09325df726a19b1,chore,https://github.com/doczjs/docz/commit/1ee6f2ed2123dc7feb5cfcd9b09325df726a19b1,chore,add examples gitignore,"diff --git a/examples/basic/.gitignore b/examples/basic/.gitignore
new file mode 100644
index 0000000..fdb33ee
--- /dev/null
+++ b/examples/basic/.gitignore
@@ -0,0 +1,2 @@
+.docz
+node_modules
\ No newline at end of file
diff --git a/examples/flow/.gitignore b/examples/flow/.gitignore
new file mode 100644
index 0000000..fdb33ee
--- /dev/null
+++ b/examples/flow/.gitignore
@@ -0,0 +1,2 @@
+.docz
+node_modules
\ No newline at end of file
diff --git a/examples/images/.gitignore b/examples/images/.gitignore
new file mode 100644
index 0000000..fdb33ee
--- /dev/null
+++ b/examples/images/.gitignore
@@ -0,0 +1,2 @@
+.docz
+node_modules
\ No newline at end of file
diff --git a/examples/monorepo/.gitignore b/examples/monorepo/.gitignore
new file mode 100644
index 0000000..fdb33ee
--- /dev/null
+++ b/examples/monorepo/.gitignore
@@ -0,0 +1,2 @@
+.docz
+node_modules
\ No newline at end of file
diff --git a/examples/react-native/.gitignore b/examples/react-native/.gitignore
new file mode 100644
index 0000000..fdb33ee
--- /dev/null
+++ b/examples/react-native/.gitignore
@@ -0,0 +1,2 @@
+.docz
+node_modules
\ No newline at end of file
diff --git a/examples/styled-components/.gitignore b/examples/styled-components/.gitignore
new file mode 100644
index 0000000..fdb33ee
--- /dev/null
+++ b/examples/styled-components/.gitignore
@@ -0,0 +1,2 @@
+.docz
+node_modules
\ No newline at end of file
",0
"refactor: call convertToJSValue when mapping PKs

Related: #435",6b18373205b53b2b18b770fc83068a3953c99238,refactor,https://github.com/mikro-orm/mikro-orm/commit/6b18373205b53b2b18b770fc83068a3953c99238,refactor,"call convertToJSValue when mapping PKs

Related: #435","diff --git a/lib/unit-of-work/ChangeSetPersister.ts b/lib/unit-of-work/ChangeSetPersister.ts
index aa5ec20..63a5df7 100644
--- a/lib/unit-of-work/ChangeSetPersister.ts
+++ b/lib/unit-of-work/ChangeSetPersister.ts
@@ -39,8 +39,7 @@ export class ChangeSetPersister {
     } else { // ChangeSetType.CREATE without primary key
       res = await this.driver.nativeInsert(changeSet.name, changeSet.payload, ctx);
       this.mapReturnedValues(changeSet.entity, res, meta);
-      wrap(changeSet.entity).__primaryKey = Utils.isDefined(changeSet.entity.__primaryKey, true) ? changeSet.entity.__primaryKey : res.insertId as any;
-      this.identifierMap[changeSet.entity.__uuid].setValue(changeSet.entity.__primaryKey as IPrimaryKey);
+      this.mapPrimaryKey(meta, res, changeSet);
       delete changeSet.entity.__initialized;
     }
 
@@ -48,6 +47,13 @@ export class ChangeSetPersister {
     changeSet.persisted = true;
   }
 
+  private mapPrimaryKey<T>(meta: EntityMetadata<T>, res: QueryResult, changeSet: ChangeSet<T>): void {
+    const prop = meta.properties[meta.primaryKeys[0]];
+    const insertId = prop.customType ? prop.customType.convertToJSValue(res.insertId, this.driver.getPlatform()) : res.insertId;
+    wrap(changeSet.entity).__primaryKey = Utils.isDefined(changeSet.entity.__primaryKey, true) ? changeSet.entity.__primaryKey : insertId;
+    this.identifierMap[changeSet.entity.__uuid].setValue(changeSet.entity[prop.name] as unknown as IPrimaryKey);
+  }
+
   private async updateEntity<T extends AnyEntity<T>>(meta: EntityMetadata<T>, changeSet: ChangeSet<T>, ctx?: Transaction): Promise<QueryResult> {
     if (!meta.versionProperty || !changeSet.entity[meta.versionProperty]) {
       return this.driver.nativeUpdate(changeSet.name, changeSet.entity.__primaryKey as {}, changeSet.payload, ctx);
diff --git a/tests/entities-sql/BookTag2.ts b/tests/entities-sql/BookTag2.ts
index 3d5eb7e..58491d5 100644
--- a/tests/entities-sql/BookTag2.ts
+++ b/tests/entities-sql/BookTag2.ts
@@ -1,6 +1,5 @@
-import { BigIntType, Collection, Entity, ManyToMany, PrimaryKey, Property, ReferenceType } from '../../lib';
+import { BigIntType, Collection, Entity, ManyToMany, PrimaryKey, Property, ReferenceType, wrap } from '../../lib';
 import { Book2 } from './Book2';
-import { MetadataStorage } from '../../lib/metadata';
 
 @Entity()
 export class BookTag2 {
@@ -18,8 +17,7 @@ export class BookTag2 {
   booksUnordered!: Collection<Book2>;
 
   constructor(name: string) {
-    const meta = MetadataStorage.getMetadata(this.constructor.name);
-    const props = meta.properties;
+    const props = wrap(this).__meta.properties;
 
     Object.keys(props).forEach(prop => {
       if ([ReferenceType.ONE_TO_MANY, ReferenceType.MANY_TO_MANY].includes(props[prop].reference)) {
",0
ci: run nightly builds for Chromium upgrade branches,0b560607f762d7d7e19d7039f67806381a6c1fd2,ci,https://github.com/bzmaxat/electron/commit/0b560607f762d7d7e19d7039f67806381a6c1fd2,build,run nightly builds for Chromium upgrade branches,"diff --git a/.circleci/config.yml b/.circleci/config.yml
index 66adaac..2310ae1 100644
--- a/.circleci/config.yml
+++ b/.circleci/config.yml
@@ -705,6 +705,7 @@ workflows:
             branches:
               only:
                 - master
+                - chromium-upgrade/*
     jobs:
       - linux-checkout
       - linux-arm-checkout
",0
